Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33348,Киев,ул. Шептицкого 4,NewUser,2019-03-30 09:41,2019-03-30 09:42,N,0.00,UAH
33349,Киев,ул. Петра Калнышевского 2,Timeout,2019-03-30 09:41,2019-03-30 09:43,N,0.00,UAH
33350,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",Timeout,2019-03-30 09:42,2019-03-30 09:43,N,0.00,UAH
33351,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 09:40,2019-03-30 09:42,N,0.00,UAH
33352,Киев,"ул. Вербицкого 30, Фуршет",Timeout,2019-03-30 09:42,2019-03-30 09:44,N,0.00,UAH
33353,Мукачево,ул. Матросова 19,NewUser,2019-03-30 09:43,2019-03-30 09:44,N,0.00,UAH
33354,Киев,ул. Бандеры 15а,NewUser,2019-03-30 09:44,2019-03-30 09:44,N,0.00,UAH
33355,Киев,ул. Бандеры 15а,Timeout,2019-03-30 09:44,2019-03-30 09:46,N,0.00,UAH
33356,Киев,ул. Здолбуновская 17,Timeout,2019-03-30 09:44,2019-03-30 09:46,N,0.00,UAH
33357,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 09:46,2019-03-30 09:49,N,0.00,UAH
33358,Мукачево,ул. Матросова 19,Timeout,2019-03-30 09:44,2019-03-30 09:50,N,0.00,UAH
33359,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 09:49,2019-03-30 09:51,N,0.00,UAH
33360,Киев,ул. Героев Сталинграда 8,Timeout,2019-03-30 09:49,2019-03-30 09:51,N,0.00,UAH
33361,Одесса,ул. Малиновского 51,Timeout,2019-03-30 09:49,2019-03-30 09:52,N,0.00,UAH
33362,Киев,пр. Броварской 17,NewUser,2019-03-30 09:49,2019-03-30 09:51,N,0.00,UAH
33363,Киев,ул. Гната Хоткевича 1,NewUser,2019-03-30 09:48,2019-03-30 09:52,N,0.00,UAH
33364,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 09:51,2019-03-30 09:52,N,0.00,UAH
33365,Киев,"ул. Вербицкого 30, Фуршет",Timeout,2019-03-30 09:53,2019-03-30 09:54,N,0.00,UAH
33366,Измаил,пр. Суворова 181,NewUser,2019-03-30 09:54,2019-03-30 09:55,Y,11806.00,UAH
33367,Измаил,пр. Суворова 181,NewUser,2019-03-30 09:56,2019-03-30 09:56,Y,11518.00,UAH
33368,Вышгород,ул. Набережная 11,Timeout,2019-03-30 09:56,2019-03-30 09:57,N,0.00,UAH
33369,Киев,ул. Леся Курбаса 6,Timeout,2019-03-30 09:55,2019-03-30 09:56,N,0.00,UAH
33370,Ужгород,ул. Гагарина 38,Timeout,2019-03-30 09:57,2019-03-30 09:58,N,0.00,UAH
33371,Киев,Харьковское шоссе 19,Timeout,2019-03-30 09:54,2019-03-30 09:56,N,0.00,UAH
33372,Одесса,ул. Малиновского 51,NewUser,2019-03-30 09:59,2019-03-30 10:00,N,0.00,UAH
33373,Киев,ул. Шептицкого 4,Timeout,2019-03-30 09:59,2019-03-30 10:01,N,0.00,UAH
33374,Одесса,пр. Шевченко 4д,Timeout,2019-03-30 09:59,2019-03-30 10:01,N,0.00,UAH
33375,Киев,ул. Героев Сталинграда 8,Timeout,2019-03-30 09:55,2019-03-30 10:02,N,0.00,UAH
33376,Черноморск,пр. Мира 35,Timeout,2019-03-30 09:56,2019-03-30 10:04,N,0.00,UAH
33377,Киев,ул. Здолбуновская 17,Timeout,2019-03-30 10:02,2019-03-30 10:04,N,0.00,UAH
33378,Одесса,ул. Заболотного 24,Timeout,2019-03-30 10:05,2019-03-30 10:06,N,0.00,UAH
33379,Вышгород,ул. Набережная 11,Timeout,2019-03-30 10:05,2019-03-30 10:06,N,0.00,UAH
33380,Киев,ул. Глушкова 13б,Timeout,2019-03-30 10:02,2019-03-30 10:07,N,0.00,UAH
33381,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 10:06,2019-03-30 10:07,N,0.00,UAH
33382,Киев,ул. Евгения Коновальца 26а,NewUser,2019-03-30 10:08,2019-03-30 10:08,N,0.00,UAH
33383,Киев,ул. Жилянская 107,NewUser,2019-03-30 10:07,2019-03-30 10:08,N,0.00,UAH
33384,Южный,ул. Химиков 29,Timeout,2019-03-30 10:07,2019-03-30 10:08,N,0.00,UAH
33385,Мукачево,ул. Матросова 19,Timeout,2019-03-30 10:05,2019-03-30 10:08,N,0.00,UAH
33386,Киев,ул. Евгения Коновальца 26а,NewUser,2019-03-30 10:08,2019-03-30 10:09,N,0.00,UAH
33387,Одесса,ул. Заболотного 24,NewUser,2019-03-30 10:11,2019-03-30 10:12,N,0.00,UAH
33388,Киев,пр. Победы 94,Timeout,2019-03-30 10:11,2019-03-30 10:13,N,0.00,UAH
33389,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 10:12,2019-03-30 10:14,N,0.00,UAH
33390,Киев,пр. Правды 66,Timeout,2019-03-30 10:13,2019-03-30 10:14,N,0.00,UAH
33391,Киев,ул. Петра Калнышевского 2,NewUser,2019-03-30 10:14,2019-03-30 10:14,N,0.00,UAH
33392,Киев,ул. Глушкова 13б,Timeout,2019-03-30 10:13,2019-03-30 10:14,N,0.00,UAH
33393,Киев,ул. Гната Хоткевича 1,NewUser,2019-03-30 10:14,2019-03-30 10:15,N,0.00,UAH
33394,Свалява,ул. Борканюка 42,Timeout,2019-03-30 10:09,2019-03-30 10:15,N,0.00,UAH
33395,Киев,пр. Правды 66,Timeout,2019-03-30 10:14,2019-03-30 10:15,N,0.00,UAH
33396,Киев,ул. Петра Калнышевского 2,Timeout,2019-03-30 10:14,2019-03-30 10:16,N,0.00,UAH
33397,Киев,ул. Бережанская 22,Timeout,2019-03-30 10:15,2019-03-30 10:16,N,0.00,UAH
33398,Киев,ул. Глушкова 13б,Timeout,2019-03-30 10:17,2019-03-30 10:19,N,0.00,UAH
33399,Мукачево,ул. Лавкивськая 1е,Timeout,2019-03-30 10:17,2019-03-30 10:19,N,0.00,UAH
33400,Киев,ул. Семьи Cосниных 17,Timeout,2019-03-30 10:20,2019-03-30 10:22,N,0.00,UAH
33401,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 10:21,2019-03-30 10:22,N,0.00,UAH
33402,Киев,пр. Броварской 17,Timeout,2019-03-30 10:22,2019-03-30 10:24,N,0.00,UAH
33403,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:23,2019-03-30 10:23,N,0.00,UAH
33404,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:23,2019-03-30 10:24,N,0.00,UAH
33405,Киев,Харьковское шоссе 19,Timeout,2019-03-30 10:23,2019-03-30 10:24,N,0.00,UAH
33406,Киев,пр. Правды 66,Timeout,2019-03-30 10:22,2019-03-30 10:24,N,0.00,UAH
33407,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 10:24,2019-03-30 10:25,N,0.00,UAH
33408,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:24,2019-03-30 10:25,N,0.00,UAH
33409,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:25,2019-03-30 10:26,N,0.00,UAH
33410,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 10:25,2019-03-30 10:26,N,0.00,UAH
33411,Киев,ул. Евгения Коновальца 26а,Timeout,2019-03-30 10:25,2019-03-30 10:26,N,0.00,UAH
33412,Киев,ул. Драйзера 8,Timeout,2019-03-30 10:26,2019-03-30 10:28,N,0.00,UAH
33413,Киев,пр. Правды 66,Timeout,2019-03-30 10:29,2019-03-30 10:30,N,0.00,UAH
33414,Черноморск,пр. Мира 35,Timeout,2019-03-30 10:31,2019-03-30 10:33,N,0.00,UAH
33415,Одесса,пр. Глушко 26,Timeout,2019-03-30 10:34,2019-03-30 10:35,N,0.00,UAH
